id_cliente,sector,region,temperatura_c,consumo_kwh
CL-0001,Residencial,Caribe,26.9,237.6
CL-0002,Residencial,Caribe,25.1,148.3
CL-0003,Residencial,Caribe,28.4,212.9
CL-0004,Residencial,Andina,18.8,206.3
CL-0005,Residencial,Caribe,31.3,243.9
CL-0006,Residencial,Andina,17.7,132.4
CL-0007,Residencial,Pacifica,25.9,196.2
CL-0008,Residencial,Andina,19.4,171.4
CL-0009,Residencial,Caribe,28.3,234.5
CL-0010,Residencial,Andina,17.8,188.4
CL-0011,Residencial,Caribe,28.2,192.3
CL-0012,Residencial,Andina,18.2,218.0
CL-0013,Residencial,Andina,15.3,128.2
CL-0014,Residencial,Caribe,30.5,243.7
CL-0015,Residencial,Pacifica,26.5,210.7
CL-0016,Residencial,Andina,18.7,183.7
CL-0017,Residencial,Andina,17.1,180.0
CL-0018,Residencial,Caribe,26.1,191.6
CL-0019,Residencial,Andina,15.7,151.8
CL-0020,Residencial,Andina,15.3,199.9
CL-0021,Residencial,Caribe,28.3,219.7
CL-0022,Residencial,Caribe,30.4,253.3
CL-0023,Residencial,Andina,16.1,198.7
CL-0024,Residencial,Andina,14.4,112.3
CL-0025,Residencial,Andina,18.0,177.7
CL-0026,Residencial,Caribe,28.1,218.7
CL-0027,Residencial,Caribe,28.4,231.9
CL-0028,Residencial,Andina,16.3,149.9
CL-0029,Residencial,Caribe,30.0,201.2
CL-0030,Residencial,Caribe,30.0,237.9
CL-0031,Residencial,Andina,16.8,150.3
CL-0032,Residencial,Caribe,25.6,144.5
CL-0033,Residencial,Andina,15.0,176.0
CL-0034,Residencial,Caribe,28.2,264.8
CL-0035,Residencial,Caribe,30.5,184.7
CL-0036,Residencial,Andina,15.1,146.8
CL-0037,Residencial,Andina,13.5,171.4
CL-0038,Residencial,Caribe,27.8,153.4
CL-0039,Residencial,Caribe,27.9,220.9
CL-0040,Residencial,Caribe,32.2,219.2
CL-0041,Residencial,Andina,17.4,178.4
CL-0042,Residencial,Andina,18.7,189.1
CL-0043,Residencial,Andina,14.6,132.8
CL-0044,Residencial,Pacifica,25.2,145.7
CL-0045,Residencial,Caribe,28.6,155.6
CL-0046,Residencial,Andina,17.6,203.9
CL-0047,Residencial,Andina,22.8,207.8
CL-0048,Residencial,Caribe,24.7,209.5
CL-0049,Residencial,Andina,16.2,140.3
CL-0050,Residencial,Andina,19.1,182.7
CL-0051,Residencial,Andina,14.9,92.6
CL-0052,Residencial,Caribe,28.9,286.3
CL-0053,Residencial,Caribe,31.0,204.0
CL-0054,Residencial,Andina,15.1,131.4
CL-0055,Residencial,Andina,15.4,195.1
CL-0056,Residencial,Andina,18.9,191.0
CL-0057,Residencial,Caribe,28.9,189.4
CL-0058,Residencial,Andina,16.1,115.4
CL-0059,Residencial,Pacifica,26.3,268.4
CL-0060,Residencial,Pacifica,25.8,214.6
CL-0061,Residencial,Andina,17.4,153.2
CL-0062,Residencial,Andina,17.9,233.0
CL-0063,Residencial,Andina,14.6,103.7
CL-0064,Residencial,Andina,20.4,174.4
CL-0065,Residencial,Andina,19.9,135.3
CL-0066,Residencial,Andina,18.3,157.4
CL-0067,Residencial,Caribe,28.7,228.3
CL-0068,Residencial,Andina,17.2,194.6
CL-0069,Residencial,Andina,16.9,133.9
CL-0070,Residencial,Caribe,27.2,195.4
CL-0071,Residencial,Caribe,26.3,206.4
CL-0072,Residencial,Andina,18.0,152.6
CL-0073,Residencial,Andina,19.0,197.5
CL-0074,Residencial,Pacifica,25.7,175.0
CL-0075,Residencial,Andina,17.5,177.1
CL-0076,Residencial,Andina,17.2,177.9
CL-0077,Residencial,Pacifica,29.8,185.1
CL-0078,Residencial,Pacifica,23.1,168.8
CL-0079,Residencial,Andina,19.4,148.4
CL-0080,Residencial,Caribe,24.7,192.3
CL-0081,Residencial,Caribe,27.9,176.5
CL-0082,Residencial,Caribe,25.5,143.3
CL-0083,Residencial,Andina,14.4,113.7
CL-0084,Residencial,Pacifica,31.8,180.3
CL-0085,Residencial,Caribe,29.7,287.9
CL-0086,Residencial,Andina,16.5,197.1
CL-0087,Residencial,Andina,16.2,159.4
CL-0088,Residencial,Andina,16.5,155.3
CL-0089,Residencial,Andina,15.9,182.5
CL-0090,Residencial,Caribe,29.3,231.3
CL-0091,Residencial,Caribe,29.0,187.1
CL-0092,Residencial,Andina,16.8,250.9
CL-0093,Residencial,Caribe,29.8,188.7
CL-0094,Residencial,Andina,17.5,125.5
CL-0095,Residencial,Pacifica,26.5,225.2
CL-0096,Residencial,Andina,18.9,193.8
CL-0097,Residencial,Pacifica,25.1,210.9
CL-0098,Residencial,Caribe,28.4,209.5
CL-0099,Residencial,Caribe,29.3,276.1
CL-0100,Residencial,Andina,16.5,173.1
CL-0101,Comercial,Andina,16.3,247.1
CL-0102,Comercial,Andina,20.5,284.0
CL-0103,Comercial,Andina,16.3,399.7
CL-0104,Comercial,Caribe,28.3,570.2
CL-0105,Comercial,Pacifica,29.5,564.0
CL-0106,Comercial,Caribe,32.5,509.5
CL-0107,Comercial,Pacifica,25.4,447.6
CL-0108,Comercial,Andina,19.0,310.0
CL-0109,Comercial,Caribe,28.6,559.8
CL-0110,Comercial,Andina,20.6,488.2
CL-0111,Comercial,Pacifica,25.9,338.1
CL-0112,Comercial,Pacifica,29.0,513.4
CL-0113,Comercial,Caribe,27.0,451.0
CL-0114,Comercial,Caribe,27.7,478.9
CL-0115,Comercial,Caribe,30.2,254.6
CL-0116,Comercial,Caribe,29.1,493.7
CL-0117,Comercial,Andina,12.9,338.4
CL-0118,Comercial,Andina,13.8,528.0
CL-0119,Comercial,Caribe,30.7,411.4
CL-0120,Comercial,Caribe,31.1,485.4
CL-0121,Comercial,Caribe,29.5,380.3
CL-0122,Comercial,Andina,16.7,441.3
CL-0123,Comercial,Pacifica,23.9,424.3
CL-0124,Comercial,Caribe,27.5,376.0
CL-0125,Comercial,Caribe,30.7,463.8
CL-0126,Comercial,Pacifica,27.7,526.6
CL-0127,Comercial,Andina,21.7,408.3
CL-0128,Comercial,Andina,20.2,379.6
CL-0129,Comercial,Andina,19.6,274.2
CL-0130,Comercial,Andina,13.8,323.7
CL-0131,Comercial,Andina,18.0,436.9
CL-0132,Comercial,Andina,12.4,394.5
CL-0133,Comercial,Andina,17.9,474.8
CL-0134,Comercial,Pacifica,24.7,451.2
CL-0135,Comercial,Andina,17.5,457.7
CL-0136,Comercial,Andina,16.6,424.1
CL-0137,Comercial,Andina,16.2,451.7
CL-0138,Comercial,Andina,16.8,481.9
CL-0139,Comercial,Caribe,26.4,312.2
CL-0140,Comercial,Pacifica,24.6,505.8
CL-0141,Comercial,Pacifica,26.4,543.6
CL-0142,Comercial,Pacifica,25.9,565.4
CL-0143,Comercial,Caribe,27.3,395.7
CL-0144,Comercial,Caribe,27.2,416.6
CL-0145,Comercial,Caribe,32.4,345.2
CL-0146,Comercial,Andina,14.9,442.3
CL-0147,Comercial,Pacifica,22.3,512.7
CL-0148,Comercial,Andina,15.9,307.3
CL-0149,Comercial,Andina,17.9,394.6
CL-0150,Comercial,Caribe,29.7,577.7
CL-0151,Comercial,Andina,14.0,492.1
CL-0152,Comercial,Caribe,31.2,499.3
CL-0153,Comercial,Caribe,29.7,634.4
CL-0154,Comercial,Andina,17.1,422.8
CL-0155,Comercial,Andina,15.3,431.2
CL-0156,Comercial,Caribe,29.6,383.4
CL-0157,Comercial,Andina,12.9,291.0
CL-0158,Comercial,Andina,16.4,580.0
CL-0159,Comercial,Andina,15.1,431.7
CL-0160,Comercial,Caribe,28.4,470.3
CL-0161,Comercial,Andina,16.3,500.9
CL-0162,Comercial,Andina,17.0,641.8
CL-0163,Comercial,Caribe,31.9,475.8
CL-0164,Comercial,Pacifica,25.9,428.3
CL-0165,Comercial,Caribe,29.9,383.0
CL-0166,Comercial,Andina,18.2,472.7
CL-0167,Comercial,Pacifica,26.7,421.0
CL-0168,Comercial,Andina,16.4,489.8
CL-0169,Comercial,Caribe,28.3,274.0
CL-0170,Comercial,Pacifica,28.7,535.4
CL-0171,Comercial,Caribe,26.0,177.2
CL-0172,Comercial,Pacifica,30.8,502.3
CL-0173,Comercial,Andina,17.9,271.1
CL-0174,Comercial,Andina,17.2,401.1
CL-0175,Comercial,Andina,17.7,470.9
CL-0176,Comercial,Andina,18.8,561.8
CL-0177,Comercial,Caribe,27.2,569.0
CL-0178,Comercial,Andina,19.8,379.4
CL-0179,Comercial,Andina,17.3,432.4
CL-0180,Comercial,Andina,16.3,320.5
CL-0181,Comercial,Pacifica,26.9,306.7
CL-0182,Comercial,Andina,15.9,506.9
CL-0183,Comercial,Andina,15.4,249.8
CL-0184,Comercial,Pacifica,26.5,429.9
CL-0185,Comercial,Caribe,28.7,473.1
CL-0186,Comercial,Andina,18.4,473.2
CL-0187,Comercial,Pacifica,27.1,475.1
CL-0188,Comercial,Pacifica,25.8,415.6
CL-0189,Comercial,Caribe,26.9,335.6
CL-0190,Comercial,Andina,16.0,324.0
CL-0191,Comercial,Andina,17.7,415.4
CL-0192,Comercial,Andina,18.8,481.7
CL-0193,Comercial,Andina,15.7,452.2
CL-0194,Comercial,Andina,14.1,390.3
CL-0195,Comercial,Andina,15.2,417.9
CL-0196,Comercial,Pacifica,28.7,567.1
CL-0197,Comercial,Caribe,29.7,241.9
CL-0198,Comercial,Pacifica,25.4,345.1
CL-0199,Comercial,Andina,21.0,318.1
CL-0200,Comercial,Caribe,29.5,603.0
CL-0201,Industrial,Pacifica,26.5,1253.8
CL-0202,Industrial,Caribe,28.2,635.5
CL-0203,Industrial,Andina,16.2,791.1
CL-0204,Industrial,Pacifica,26.5,606.5
CL-0205,Industrial,Andina,15.8,1112.6
CL-0206,Industrial,Caribe,27.7,1028.2
CL-0207,Industrial,Pacifica,26.9,624.2
CL-0208,Industrial,Andina,14.9,921.9
CL-0209,Industrial,Caribe,29.9,794.4
CL-0210,Industrial,Caribe,30.4,985.1
CL-0211,Industrial,Andina,19.9,820.3
CL-0212,Industrial,Andina,17.5,778.5
CL-0213,Industrial,Andina,15.9,809.5
CL-0214,Industrial,Caribe,26.9,493.3
CL-0215,Industrial,Andina,22.1,835.5
CL-0216,Industrial,Caribe,28.4,882.1
CL-0217,Industrial,Pacifica,23.8,1019.5
CL-0218,Industrial,Andina,14.0,1001.9
CL-0219,Industrial,Pacifica,26.3,864.5
CL-0220,Industrial,Andina,18.2,581.3
CL-0221,Industrial,Andina,16.2,1217.4
CL-0222,Industrial,Andina,20.3,702.5
CL-0223,Industrial,Andina,17.6,734.0
CL-0224,Industrial,Caribe,31.4,887.3
CL-0225,Industrial,Pacifica,26.0,761.6
CL-0226,Industrial,Andina,16.8,580.2
CL-0227,Industrial,Andina,18.0,797.9
CL-0228,Industrial,Caribe,30.6,991.4
CL-0229,Industrial,Andina,14.4,1028.0
CL-0230,Industrial,Andina,21.8,982.8
CL-0231,Industrial,Caribe,28.7,1081.8
